Ghelo_harsh,@SwiggyCares i paid from paytm and not any credit received from your site.
SakshiC41561043,@Paytm @Paytmcare @paytmbankcare So I was suggested to go to SBI for reversal of amt. Wherein the bank says it they… https://t.co/TTo84sasva
Dhinesh21401456,Best paytm cash Earning app 2019 | New year offer 2020 | cool தமிழா https://t.co/tlS9leOdpJ via @YouTube
subhendu_90,"@Paytmcare @Paytm pathetic service, reissued FASTAG on 12th Dec, shared RC copy thrice starting from 17th Dec, but… https://t.co/ykheEquiCZ"
roshanbesekar,"@Paytm @Paytmcare @PaytmBank 

R u encourage fraudulent activities on ur behalf.see this message.
Aur aap me thodis… https://t.co/sBqiol7HG4"
DecadeSteel,Happy to announce the winner of the  #LikeRefer&amp;FollowContest Mr. Rahul from Karimnagar has won Paytm voucher worth… https://t.co/abnZTXVHaU
roydebsnp,PAYTM is a unsecure organization. Seized the organization. Kindly take action accordingly. Mobile number of fraud c… https://t.co/R6vcUuHmkh
roydebsnp,"@ChowkidarAajtak 
Today at 2 pm automatically 10000 debited from my PAYTM PAYMENT BANKS account. But not taken seri… https://t.co/YUGEbMSsKo"
mandarchakradeo,@PuneCityPolice Paytm has confirmed that it's not their response. What should be way forward? https://t.co/jn2fq6OMgs
SaveUcs,Paytm promo code today || Paytm Offer today || Paytm 23 December Offer || cashback https://t.co/0VMyWzf0rv https://t.co/xSLMMV5bS4
kalyansview,@Subhash_ati9 Absolutely. Not very confident about paytm being a long term player.
paytmbankcare,"@kchwl Hi Kartikey, Thank you for contacting Paytm Fastag Support Team. We regret to inform you that, as per our re… https://t.co/fvTEInVEnC"
aayush_k_singh,@PhonePeSupport That's the reason why @PhonePe_ is trustable . thank you so much @PhonePeSupport for your help and… https://t.co/2Z33daKSlE
RikySharma,"@Paytm app is at latest, still asking to uninstall and reinstall app when trying to buy fastag"
AnilRai61388547,Dear don't buy fastag from paytm.I have ordered a fastag on 1st December but I have not received till 24 Dec . They… https://t.co/oqQMZv9d5W
JatinMarthak,@MumbaiPolice @Paytm @Paytmcare @PaytmCybercell why can’t Paytm take action against this kind of fraud messages ult… https://t.co/BrsUjB0rVg
Ramp1Kantichand,"#PER REFER ₹18#
 🤑🤑🤑Go and get your Paytm Cash from the 「StarMaker Lite」
 🤑🤑🤑Fill In My Refer Code「6R3HF」t... https://t.co/zmWAc3EE91"
SumeetK84511158,@Paytm how many days u #cheaters require  to update in system that payment is done on time and loan is closed . its… https://t.co/9qXnAHLbhX
Paytmcare,"@amtheIinINDIA Hi Neetesh, kindly share your Paytm registered mobile number via Direct Message to assist you better… https://t.co/wjczwnOqie"
iamMohdsalman,@PaytmTickets @DharmaMovies Ans 4 : TRUE  #GoodNewwzOnPaytm #Goodnewzz #paytm @akshaykumar @diljitdosanjh… https://t.co/8xXn2ag2ES
paytmbankcare,"@tapiish23 Hi, please share the Barcode number screenshot that is displayed in your Paytm app via DM so that we may… https://t.co/5aYL7R3FnE"
unqgamerraju,Strictly 18+ PhonePe Paytm | Pubg Mobile Punju VS Petta | Live Stream #493 https://t.co/s2bhyEInqK
roydebsnp,"@Paytm #ABPNews
@ABPNews Today at 2 pm automatically 10000 debited from my PAYTM PAYMENT BANKS account. But not tak… https://t.co/awn3XHynDr"
HarshaRavipati,Let the world know that Andhra doesn’t support “The 3 Capital Decision” except a few PayTm batch members… https://t.co/k69j9Mqn1F
RohitGaurav42,@Paytm @Paytmcare @RBI  @ICICIBank @ICICIBank_Care amount deducted from icici bank credit card on 21st December. Ba… https://t.co/1elCZ5BbY6
kanhaiya483,@MyFab11Official You are not uploaded my correct account number and also paytm number
goyalgagan07,"@PunjabPoliceInd,@Paytmcare @OLX   received call from 7414039379. He was asking for paytm otp for one advt. given o… https://t.co/hGSrxdYxVj"
BengalTalkies,"Seats are almost full tomorrow. So hurry up &amp; book your tickets now!
𝐁𝐨𝐨𝐤𝐌𝐲𝐒𝐡𝐨𝐰: https://t.co/2SpLafRUHG
𝐏𝐚𝐲𝐭𝐦:… https://t.co/J7G2Q3It55"
Ranjana19667767,"@Paytmcare @paytm
On 23.12.2019, I transfd Rs100 from my bank account to PAYTM thru Debit Card using Mobile device.… https://t.co/KrhNIqXl56"
paytmbankcare,"@kun023 Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with som… https://t.co/JR2t4FCMSf"
MunavalliSammed,@Paytmcare pls help me to adding my upi bank account I registered my account as same my mobile number but in… https://t.co/n5BRZ4PUS7
amarjeet443,"Paytm all user offer 
Cashback flat 50 &amp; upto 1000
Video link https://t.co/4IUSqLFf1q"
paytmbankcare,"@drnkagrawal Hi Nikunj! Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief del… https://t.co/SThmHRNNUc"
paytmbankcare,"@ApoorvPradhan Hi, Hope you are doing well. Due to the high volume of Fastag orders, we are experiencing brief dela… https://t.co/4RvMSMzzwK"
paytmbankcare,"@_A_j_i_t Since the selected payment method for this transaction is Paytm Balance, the amount first gets added via… https://t.co/GIUjEzHrVN"
paytmbankcare,@_A_j_i_t Hi Ajit! you have used the Paytm 'Add &amp; Pay' option to make a payment to merchant. (1/2)
Paytmcare,"@sravan1802 Hi Sravan, Paytm does not charge any convenience/transaction fee from its customers on using any paymen… https://t.co/x4gwuiX8MB"
naasir1234,"@Paytmcare sir, I mailed you and also messaged you.  But, no good response . I completed my kyc and also I have pay… https://t.co/ZgqVaRJTza"
BhardwajV21,@Paytmcare 12 days to go but fast tag is not activated yet. What a sarvice provided by paytm
Instahyre,"Hey Rahul, congratulations on getting your new job at @Paytm! We are really glad that you like our platform and tha… https://t.co/gXJLI2rjD0"
Shureshprince,@BashaSattar3 @BuddaVenkanna For ur kind info .. devegowda was supported by the CBN at the time to become pm .... .… https://t.co/5gf9BfAcyX
vishnu_bhattad,@PaytmFirstGames I would like to say that instead of asking for certain amt say 100 and giving cashback offer of so… https://t.co/PFt1ixF7B2
paytmbankcare,"@nayi_pinakin We would request you to track your order using Paytm App. If you need further assistance, please cont… https://t.co/BNerBdaPzj"
PaytmTickets,"Q4. The comedy-drama #GoodNewwz is the directorial debut of Raj Mehta. True or False?

#GoodNewwzOnPaytm… https://t.co/KURYGmVDLU"
justtraveluk,PayTM Rupay Lounge Access on Debit Cards to be discontinued in January 2020|https://t.co/qBdIqh59me https://t.co/BHmEuPo1G0
MrSahilgupta,"@Paytmcare @Paytm why don't you take care of your service yet not my refund has been refunded 
Order No. 9892616281"
VijayKolte7,@paytmbankcare Sorry.... Enough for paytm now... U want me to spend my money and time against ur pathetic service a… https://t.co/4P0eIy0iCK
rushabhT_,"#GoodNewwzOnPaytm
Why paytm kyc center charged Mr for kuc updation and its supposed to be free. What u r getting cu… https://t.co/nMp8MCgWoo"
hellosreehari,Where is my FASTag @Paytm . I tried contacting Paytm but there is no response @paytmbankcare . I would like to talk to somebody about this
MrSahilgupta,"@Paytm why don't you take care of your service yet not my refund has been refunded  
Order No. 9892616281"
balakalathi,"Need an upate on this, been waiting for 2 days for an update
@paytmbankcare @Paytm https://t.co/GqLh0NC2PA"
Taral76758633,@Paytm how customer reach your customer care services can you elaborate. No response received from 24X7 tickets als… https://t.co/U7JR4iERYG
paytmbankcare,"@supersmart786 Hi Maqsood! Please share the RC copy clearly reflecting the vehicle number, barcode image and barcod… https://t.co/thhq3i1MV8"
MananMakkar,"@Dishasatra @Paytm @Paytmcare @PaytmCybercell It is the same everywhere in India. I got my KYC done for 30rs.
It's… https://t.co/BpN4iA6vdH"
LitharaHome,"Only 3 days left to participate in the contest!
Choose the correct puzzle and get a chance to win exciting gifts, p… https://t.co/R6haXS1mrc"
VijayKolte7,@paytmbankcare Can u give me courier details ? I never get any call and my home is not locked down since last 2 wee… https://t.co/je9Acq2yDm
jalpesh_9999,@Paytm @Paytmcare i have ordered fastag on date 27 nov 19 and delivered on date 20 dec 19. The fastag delivered was… https://t.co/CpszmrHuQz
paytmbankcare,"@VijayKolte7 Hi Vijay, Thank you for contacting Paytm Fastag Support Team. We regret to inform you that, as per our… https://t.co/3WteV8g7fS"
BantiKu11723909,@MyFab11Official @MyFab11Official There is a transaction of 465 rupees from my my fab 11 account by paytm upi but… https://t.co/UGsayLnMZE
SaveMoneyTT1,FLAT 75 CASH BACK PAYTM LOOT OFFER FOR ALL USERS.OFFICEAL ADD MONY ! SCAN and PAY Offer. https://t.co/HSLgaN10MX https://t.co/gQFiU8oHOK
afaqs,"Say no to the toll traffic, and enjoy some VIP feels with the all-new FASTag stickers.
Read more here.… https://t.co/AV7JS27HrU"
namonamomahadev,"@Paytmcare @PaytmBuildIndia 
@aajtak @anandxyz876
fastag delivery from bank is much better then paytm,  waiting for… https://t.co/7nTSmrkqYY"
paytmbankcare,"@im__mannu Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with… https://t.co/60P2eu1GOg"
Paytmcare,"@roshanbesekar Hi, this is not an official communication from Paytm. Please be aware of such fake callers/messages.… https://t.co/VLjWUmCWhj"
Anujmanocha,"Dm me your paytm no 

I will send you money 

#SecretSanta 😍

#MerryChristmas2019 
#MerryChristmas25"
Parth02744030,"@NetflixIndia Zee5 Premium 20rs
WWE Premium 25rs
Express &amp; Nord vpn 30rs
Marvel Unlimited 20rs
PS PLUS(1 month) 100… https://t.co/PJbGMHVZl8"
PaytmMall,"Ride into the Future with Hero Bikes. Buy your ride &amp; get up to Rs 7000 Paytm Cashback. Go ahead, choose one and vr… https://t.co/qCiLn6YBdh"
Paytmcare,"@drvvraiims Hi Vishnu, presently there is an upgradation going-on in Paytm Postpaid that's why our customers are no… https://t.co/mJXzEkrVDG"
kssengar,#Paytm #FASTag #NHAI I was paid toll in cash at the time i was traveling but after 10 days amount is deducted from… https://t.co/zH3oK4eWVD
samraatofficial,@airtelindia  @Airtel_Presence @Paytmcare Where will the cashback be credited? In Airtel Wallet or Paytm Wallet https://t.co/XFxAAZ9A0G
theabhipoddar,"@timesprime 
I refer my brother (95****1971)and sister (90****3694) for timesprime and activate their membership by… https://t.co/JLwQPWvRo6"
Ai_Connects_Us,Travel brands that want to deliv holistic mobile #CX need to think about how they engage travelers within these… https://t.co/725bncA6oS
Paytmcare,"@Rajpurohit_IN Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Mo… https://t.co/KKeRAyd3CZ"
nishisway77,@BlueDart_ @BlueDartCares Received reply from paytm plz confirm and refund amt to my bank account. https://t.co/N8UWJdNYmS
paytmbankcare,@nitish_virmani Hi! We understand you have a concern regarding checking your barcode and vehicle details. To check… https://t.co/06BxCWnpI6
paytmbankcare,"@pramodankad Thus, we request you to contact the receiver to get the amount reversed or you can also share with us… https://t.co/3umurwFyda"
paytmbankcare,@ANKURSI40336651 Hi! We understand you have a concern regarding checking your barcode and vehicle details. To check… https://t.co/jSnGZZDLYB
paytmbankcare,"@pramodankad Hi Pramod, your transaction of INR 500 to receiver phone on 22/12/2019 at 06:46 PM was successful. Pay… https://t.co/ebYoQEZCrL"
roydebsnp,@ABPNews Today at 2 pm automatically 10000 debited from my PAYTM PAYMENT BANKS account. But not taken seriously by… https://t.co/9f1PBsRkt5
Rajpurohit_IN,"PAYTM
Dear paytm customer your KYC has been suspended.Paytm office pH 9861288016 call immediately.Your account will… https://t.co/aeMXItgn4k"
SaveUcs,Google Pay 2020 offer stamps Giveaway !! Paytm UPI Flat 50 Cashback Loot Offer !! | V Talk https://t.co/vJTj7p7dDR https://t.co/ECx0PsBXnv
Paytmcare,"@atulshivtare Hi, we are keen to help you. Kindly elaborate your concern along with your Paytm registered mobile no… https://t.co/h4n9Qt2O08"
BoardingArea,PayTM Rupay Lounge Access on Debit Cards to be discontinued in January 2020 https://t.co/XnFqp64Arx via… https://t.co/8eaGTNa2Mu
ihemantmudgil,I thought finally payTm banned. #GoodNewwzOnPaytm
paytmbankcare,"@AditiMe39518058 We would request you to track your order using Paytm App. If you need further assistance, please c… https://t.co/p7QxNYNR2y"
roshanbesekar,"All @Paytmcare @Paytm user be aware about the frauds conducted on the name of KYC service, linking aadhar card. The… https://t.co/UaoNv63m8W"
drvvraiims,"@Paytmcare I've Paytm Postpaid of 4000, where i used to use often...
Now for payment during any online purchase, th… https://t.co/RRRKsRZHgy"
LiveFromALounge,#Paytm Rupay Lounge Access on Debit Cards to be discontinued in January 2020 : https://t.co/lBwTOkazuC by Ajay https://t.co/wymF1ZgGXj
SaveMoneyTT1,"Paytm 50rs free Cashback ! scan &amp; pay ,add money offer , phonoepe send money ! Helo app new game  👌… https://t.co/jZ1N1bQEHn"
paytmmallcare,"@TinkuDhankhar02 As informed earlier, we have initiated a refund for your money on 24/12/2019 at 07:21:23 AM to the… https://t.co/tEH6kbV8tE"
vishal_bhansali,"@Deal_Trendz One more offer that I recently found out. If you signup from Coupondunia, you get 900 cashback in Coup… https://t.co/mKCAnLZtkF"
AmalSinha1,"@amitkanchanakg @Paytmcare @Paytm @xtrarewards Dear Mr Kanchan, kindly DM transaction details, will get it checked."
amitarorajbs,@Paytm ordered a fastag and its not working on any toll on any highway. And no response from customer service also.… https://t.co/YImq97fBuZ
PaytmFirstGames,"Be merry by playing the super fun 123 Quiz on Paytm First Games App! 🔔

https://t.co/vfc4RQkgg9"
paytmbankcare,"@MedhaGu72568436 Hi Medha, kindly note that once you select the payment mode as 'Paytm', you give Zomato the author… https://t.co/613U4w28D5"
paytmbankcare,"@pramodankad Hi, we value your privacy. We never call/SMS users to ask sensitive information. Please be aware of su… https://t.co/zmaksqSGqR"
CompanyGanesh,"Urban ladder Unboxed products on sale on Full discount on stock end sale

Hurry up hurry up! Stock end sale!

Give… https://t.co/mRSxtcCLri"
paytmbankcare,@kamesh_su You can also contact us through our in-app support section at https://t.co/d97OFba48j or let us know you… https://t.co/LmKZG0Yzwb
anjali_yadav14,In other news..this got sorted.. money transferred to my bank account .. no KYC needed.. followed their gazillion s… https://t.co/9g5QwBrFuX
prayas212,"@sarthakgh Reason for this is, with Gpay one can withdraw money instantaneously vs paytm which has a cap on monthly… https://t.co/lVMhaE9NgI"
SaveMoneyTT1,Paytm Christmas New Flat ₹75 Cashback Offer For All Users | Paytm New UPI Cashback Offer Today… https://t.co/PpsOW8VfsI
